28.01.2013	15:34:54
User: 
Sample: 
s       	°C       	V       	A       	Ohm*cm 	mbar (Baratron)	mbar (FullRange)	mbar (Pirani)
5,964000	22,100000	0,000000	0,000000	NaN	1,551400E-5	9,890000E-8	0,003720
6,497000	22,100000	0,000000	0,000000	NaN	1,522700E-5	9,890000E-8	0,003730
7,247000	22,100000	0,000000	0,000000	NaN	1,494000E-5	9,900000E-8	0,003730
7,754000	22,200000	0,000000	0,000000	NaN	1,472900E-5	9,900000E-8	0,003730
8,263000	22,100000	0,000000	0,000000	NaN	1,462300E-5	9,900000E-8	0,003730
8,770000	22,100000	0,000000	0,000000	NaN	1,483800E-5	9,890000E-8	0,003710
9,396000	22,200000	0,000000	0,000000	NaN	1,478500E-5	9,900000E-8	0,003710
9,902000	22,100000	0,000000	0,000000	NaN	1,443100E-5	9,900000E-8	0,003720
10,456000	22,100000	0,000000	0,000000	NaN	1,455200E-5	9,890000E-8	0,003730
10,998000	22,100000	0,000000	0,000000	NaN	1,428300E-5	9,900000E-8	0,003720
11,504000	22,100000	0,000000	0,000000	NaN	1,416600E-5	9,890000E-8	0,003720
12,014000	22,100000	0,000000	0,000000	NaN	1,395300E-5	9,900000E-8	0,003730
12,949000	22,100000	0,000000	0,000000	NaN	1,384900E-5	9,890000E-8	0,003710
13,457000	22,100000	0,000000	0,000000	NaN	1,370200E-5	9,890000E-8	0,003720
13,999000	22,100000	0,000000	0,000000	NaN	1,376600E-5	9,890000E-8	0,003720
14,504000	22,100000	0,000000	0,000000	NaN	1,375000E-5	9,900000E-8	0,003730
15,247000	22,100000	0,000000	0,000000	NaN	1,368700E-5	9,890000E-8	0,003730
15,753000	22,100000	0,000000	0,000000	NaN	1,403800E-5	9,890000E-8	0,003730
16,739000	22,100000	0,000000	0,000000	NaN	1,394100E-5	9,890000E-8	0,003730
17,246000	22,100000	0,000000	0,000000	NaN	1,393400E-5	9,890000E-8	0,003720
17,757000	22,100000	0,000000	0,000000	NaN	1,403200E-5	9,890000E-8	0,003720
18,777000	22,200000	0,000000	0,000000	NaN	1,374200E-5	9,900000E-8	0,003730
19,447000	22,100000	0,000000	0,000000	NaN	1,404800E-5	9,900000E-8	0,003730
19,952000	22,100000	0,000000	0,000000	NaN	1,408100E-5	9,900000E-8	0,003730
20,466000	22,100000	0,000000	0,000000	NaN	1,413700E-5	9,890000E-8	0,003730
20,972000	22,100000	0,000000	0,000000	NaN	1,473900E-5	9,900000E-8	0,003730
21,476000	22,100000	0,000000	0,000000	NaN	1,504000E-5	9,900000E-8	0,003730
