Time (s) - Plot 0	Resistivity (Ohm*cm) - Plot 0	
0,02	2,48E+0	
1,648	2,48E+0	
3,155	2,48E+0	
4,663	2,48E+0	
6,171	2,48E+0	
7,678	2,48E+0	
9,203	2,48E+0	
10,712	2,48E+0	
12,224	2,48E+0	
13,732	2,48E+0	
15,241	2,48E+0	
16,75	2,48E+0	
18,259	2,48E+0	
19,831	2,48E+0	
21,356	2,47E+0	
22,863	2,47E+0	
24,423	2,47E+0	
25,931	2,47E+0	
27,469	2,47E+0	
29,016	2,47E+0	
30,546	2,47E+0	
32,104	2,47E+0	
33,648	2,47E+0	
35,157	2,47E+0	
36,742	2,47E+0	
38,274	2,47E+0	
39,811	2,47E+0	
41,556	2,47E+0	
43,195	2,46E+0	
44,922	2,46E+0	
46,584	2,46E+0	
48,097	2,46E+0	
49,854	2,46E+0	
51,381	2,46E+0	
52,901	2,46E+0	
54,411	2,46E+0	
55,921	2,46E+0	
57,43	2,46E+0	
58,938	2,46E+0	
60,445	2,46E+0	
61,955	2,46E+0	
63,462	2,46E+0	
77,06	2,45E+0	
78,566	2,45E+0	
80,084	2,45E+0	
81,593	2,44E+0	
83,117	2,44E+0	
84,625	2,44E+0	
86,134	2,44E+0	
87,642	2,44E+0	
89,149	2,44E+0	
90,658	2,44E+0	
92,167	2,44E+0	
93,675	2,44E+0	
95,183	2,44E+0	
96,69	2,44E+0	
98,198	2,44E+0	
99,707	2,44E+0	
101,215	2,44E+0	
102,725	2,44E+0	
104,232	2,44E+0	
105,742	2,44E+0	
107,251	2,43E+0	
108,76	2,43E+0	
110,267	2,43E+0	
111,774	2,43E+0	
113,283	2,43E+0	
114,793	2,43E+0	
116,302	2,43E+0	
117,809	2,43E+0	
119,316	2,43E+0	
120,824	2,43E+0	
122,332	2,43E+0	
123,841	2,43E+0	
125,349	2,43E+0	
126,857	2,42E+0	
128,363	2,42E+0	
129,872	2,42E+0	
131,38	2,42E+0	
132,888	2,42E+0	
134,396	2,42E+0	
135,903	2,42E+0	
137,412	2,42E+0	
138,92	2,42E+0	
140,428	2,42E+0	
141,935	2,42E+0	
143,441	2,41E+0	
144,95	2,41E+0	
146,459	2,41E+0	
147,968	2,41E+0	
149,477	2,41E+0	
150,986	2,41E+0	
152,495	2,41E+0	
154,004	2,41E+0	
155,513	2,41E+0	
157,022	2,41E+0	
158,529	2,41E+0	
160,038	2,41E+0	
161,547	2,41E+0	
163,056	2,41E+0	
164,564	2,41E+0	
166,071	2,41E+0	
167,58	2,41E+0	
169,089	2,41E+0	
170,598	2,41E+0	
172,106	2,41E+0	
173,613	2,4E+0	
175,122	2,4E+0	
176,631	2,4E+0	
178,14	2,4E+0	
179,649	2,4E+0	
181,156	2,4E+0	
182,665	2,4E+0	
184,173	2,4E+0	
185,681	2,39E+0	
187,188	2,39E+0	
188,696	2,39E+0	
190,205	2,39E+0	
191,714	2,39E+0	
193,223	2,39E+0	
194,731	2,39E+0	
196,238	2,39E+0	
197,747	2,39E+0	
199,256	2,39E+0	
200,765	2,39E+0	
202,273	2,39E+0	
203,78	2,39E+0	
205,289	2,38E+0	
206,798	2,39E+0	
208,307	2,39E+0	
209,814	2,38E+0	
211,322	2,39E+0	
212,831	2,38E+0	
214,34	2,38E+0	
215,849	2,38E+0	
217,357	2,38E+0	
218,866	2,38E+0	
220,416	2,38E+0	
221,995	2,38E+0	
223,513	2,38E+0	
225,02	2,38E+0	
226,531	2,38E+0	
228,039	2,38E+0	
229,548	2,38E+0	
231,056	2,37E+0	
232,565	2,37E+0	
234,074	2,37E+0	
235,585	2,37E+0	
237,093	2,37E+0	
238,605	2,37E+0	
240,112	2,37E+0	
241,621	2,37E+0	
243,129	2,37E+0	
244,636	2,37E+0	
246,143	2,37E+0	
247,655	2,36E+0	
249,163	2,36E+0	
250,673	2,36E+0	
252,18	2,37E+0	
253,69	2,37E+0	
255,199	2,37E+0	
256,707	2,36E+0	
258,215	2,36E+0	
259,727	2,36E+0	
261,233	2,36E+0	
262,743	2,36E+0	
264,251	2,36E+0	
265,764	2,36E+0	
267,271	2,36E+0	
268,78	2,36E+0	
270,289	2,36E+0	
271,798	2,36E+0	
273,306	2,36E+0	
274,815	2,35E+0	
276,324	2,35E+0	
277,834	2,35E+0	
279,342	2,35E+0	
280,852	2,35E+0	
282,358	2,35E+0	
283,868	2,35E+0	
285,376	2,35E+0	
286,886	2,35E+0	
288,394	2,35E+0	
289,902	2,35E+0	
291,41	2,35E+0	
292,918	2,35E+0	
294,426	2,35E+0	
295,937	2,34E+0	
297,444	2,34E+0	
298,952	2,34E+0	
300,459	2,34E+0	
301,971	2,34E+0	
303,479	2,34E+0	
304,988	2,34E+0	
306,497	2,34E+0	
308,004	2,34E+0	
309,512	2,34E+0	
311,02	2,33E+0	
312,528	2,33E+0	
314,037	2,33E+0	
315,545	2,33E+0	
317,053	2,33E+0	
318,56	2,33E+0	
320,069	2,33E+0	
321,577	2,33E+0	
323,088	2,33E+0	
324,596	2,32E+0	
326,113	2,32E+0	
327,626	2,32E+0	
